70,51.552,-0.2387,Dollis Hill,3,1,940GZZLUDOH,,DOH,
71,51.5152,-0.3017,Ealing Broadway,3,2,940GZZLUEBY,,EAB,
72,51.5101,-0.2882,Ealing Common,3,2,940GZZLUECM,,ECO,
73,51.492,-0.1973,Earl's Court,1.5,2,940GZZLUECT,,EAC,
74,51.5168,-0.2474,East Acton,2,1,940GZZLUEAN,,EAC,
75,51.5874,-0.165,East Finchley,3,1,940GZZLUEFY,,EFY,
76,51.5394,0.0518,East Ham,3.5,2,940GZZLUEHM,,EAH,
77,51.5093,-0.0021,East India,2.5,1,,940GZZDLEIN,,EAI
78,51.4586,-0.2112,East Putney,2.5,1,940GZZLUEPY,,EAP,
79,51.5765,-0.397,Eastcote,5,2,940GZZLUEAE,,EAS,
80,51.6137,-0.275,Edgware,5,1,940GZZLUEGW,,EGW,
81,51.5199,-0.1679,Edgware Road (B),1,1,940GZZLUERB,,EDR,
82,51.5203,-0.17,Edgware Road (C),1,3,940GZZLUERC,,EDR,
83,51.4943,-0.1001,Elephant & Castle,1.5,2,940GZZLUEAC,,ELC,
84,51.5496,0.1977,Elm Park,6,1,940GZZLUEPY,,,
85,51.4693,-0.0174,Elverson Road,2.5,1,,940GZZDLELV,,
86,51.5074,-0.1223,Embankment,1,4,940GZZLUEMB,,,
87,51.6937,0.1139,Epping,6,1,940GZZLUEPG,,,
88,51.5282,-0.1337,Euston,1,2,940GZZLUESQ,,,
89,51.526,-0.1359,Euston Square,1,3,940GZZLUESQ,,,
90,51.596,0.0912,Fairlop,5,1,940GZZLUFLP,,,
91,51.5203,-0.1053,Farringdon,1,3,940GZZLUFCN,,,
92,51.6012,-0.1932,Finchley Central,4,1,940GZZLUFYC,,,
93,51.5472,-0.1803,Finchley Road,2,2,940GZZLUFYR,,,
94,51.5642,-0.1065,Finsbury Park,2,1,940GZZLUFPK,,,
95,51.4804,-0.195,Fulham Broadway,2,1,940GZZLUFBY,,,
96,51.5096,0.0716,Gallions Reach,3,1,,940GZZDLGAL,,
97,51.5765,0.0663,Gants Hill,4,1,940GZZLUGTH,,,
98,51.4945,-0.1829,Gloucester Road,1,3,940GZZLUGTR,,,
99,51.5724,-0.1941,Golders Green,3,1,940GZZLUGGN,,,
100,51.5018,-0.2267,Goldhawk Road,2,1,940GZZLUGHK,,,
101,51.5205,-0.1347,Goodge Street,1,1,940GZZLUGDG,,,
102,51.6132,0.0923,Grange Hill,5,1,940GZZLUGGH,,,
103,51.5238,-0.1439,Great Portland Street,1,3,940GZZLUGPS,,,
104,51.5067,-0.1428,Green Park,1,3,940GZZLUGPK,,,
105,51.5423,-0.3456,Greenford,4,1,940GZZLUGFD,,,
106,51.4781,-0.0149,Greenwich,2.5,1,940GZZLUNGW,,,
107,51.4915,-0.2754,Gunnersbury,3,1,940GZZLUGBY,,,
108,51.603,0.0933,Hainault,5,1,940GZZLUHLT,,,
109,51.4936,-0.2251,Hammersmith,2,3,940GZZLUHSD,940GZZLUHSC,,
110,51.5568,-0.178,Hampstead,2.5,1,940GZZLUHTD,,,
111,51.5302,-0.2933,Hanger Lane,3,1,940GZZLUHGR,,,
112,51.5362,-0.2575,Harlesden,3,1,940GZZLUHSN,,,
113,51.5925,-0.3351,Harrow & Wealdston,5,1,940GZZLUHAW,,,
