0,72,10,2
0,229,10,4
0,263,10,3
0,51,3,2
0,72,3,2
1,155,2,2
1,261,2,4
1,155,8,2
2,261,3,2
2,294,3,2
2,155,6,4
2,294,6,2
3,69,4,2
3,199,4,2
4,192,10,3
4,250,10,2
5,45,8,4
6,143,9,2
6,187,9,3
7,123,9,3
7,262,9,2
8,30,10,3
8,238,10,3
9,94,10,2
9,127,10,1
10,162,0,1
10,210,0,2
10,82,2,3
10,103,2,3
10,82,6,3
10,103,6,3
10,27,7,2
10,241,7,4
10,93,8,6
10,103,8,3
11,55,9,2
11,255,9,1
12,155,1,2
12,242,1,2
12,223,4,2
12,156,9,2
12,167,9,3
12,277,12,4
13,91,2,1
13,167,2,2
13,91,6,1
13,167,6,2
13,91,8,1
13,167,8,2
14,76,3,4
14,267,3,2
14,76,6,4
15,90,1,2
15,174,1,2
16,109,3,1
16,288,3,2
16,73,10,3
16,109,10,2
17,185,2,2
17,191,2,2
17,185,3,2
17,191,3,2
18,96,4,2
19,64,4,2
19,215,4,2
20,66,3,3
20,267,3,2
21,46,9,2
21,110,9,2
22,40,7,2
22,156,7,3
23,155,1,3
23,163,1,2
24,160,2,1
24,253,2,2
24,160,3,1
24,253,3,2
25,258,11,2
25,272,11,2
26,77,4,2
26,199,4,2
27,161,1,1
27,190,1,1
27,104,7,2
27,10,7,2
28,83,9,1
28,156,9,2
29,180,10,2
29,188,10,3
30,299,10,2
30,8,10,3
31,69,4,2
31,202,4,2
32,35,3,2
32,163,3,1
32,35,6,2
32,163,6,1
33,99,9,3
33,118,9,2
34,246,11,2
35,284,3,2
35,284,6,2
35,32,3,2
35,32,6,2
36,157,1,3
36,300,1,3
37,57,9,2
37,80,9,3
38,127,10,2
38,143,10,5
39,46,9,2
39,88,9,3
39,138,9,2
39,169,9,1
40,214,5,1
40,251,5,2
40,41,7,3
40,22,7,2
41,119,4,2
41,287,4,2
41,177,7,3
41,40,7,3
42,77,4,2
42,217,4,2
42,177,7,3
42,284,7,3
43,160,2,1
43,165,2,2
43,160,3,1
43,165,3,2
44,205,7,2
44,244,7,2
45,49,8,8
45,52,8,4
45,5,8,4
46,21,9,2
46,39,9,2
47,125,1,1
47,242,1,2
48,86,0,1
48,195,0,2
48,86,9,1
48,150,9,2
49,45,8,8
50,102,1,2
50,213,1,2
51,0,3,2
51,263,3,2
52,212,8,4
52,45,8,4
53,54,9,2
53,55,9,2
54,246,9,1
54,53,9,2
55,11,9,2
55,53,9,2
56,186,10,4
57,118,9,3
57,37,9,2
58,235,9,2
58,256,9,2
59,125,10,1
59,150,10,1
60,170,4,2
60,233,4,2
61,166,8,4
61,278,8,3
62,201,4,2
62,217,4,2
63,106,4,2
63,134,4,2
64,96,4,2
64,19,4,2
65,66,3,4
65,84,3,3
66,20,3,3
66,65,3,4
67,157,1,2
67,254,1,3
68,85,4,2
68,106,4,2
69,3,4,2
69,31,4,2
70,171,7,2
70,295,7,2
71,281,1,3
71,72,3,4
72,0,3,2
72,176,10,3
72,0,10,2
72,71,3,4
73,98,3,3
73,121,3,3
73,137,3,2
73,282,3,2
73,288,3,1
73,98,10,2
73,16,10,3
79,208,8,2
79,220,8,2
79,208,10,2
79,220,10,2
74,175,1,2
74,293,1,3
75,92,9,4
75,123,9,2
76,268,3,2
76,268,6,2
76,14,3,4
76,14,6,4
77,26,4,2
77,42,4,2
78,203,3,2
78,237,3,2
80,37,9,3
81,162,0,2
81,191,0,3
82,191,2,3
82,191,3,3
82,191,6,4
82,10,2,3
82,10,6,3
83,147,0,3
83,135,9,2
83,28,9,1
84,128,3,2
84,65,3,3
85,151,4,2
85,68,4,2
86,277,0,2
86,253,2,2
86,292,2,2
86,253,3,2
86,292,3,2
86,277,9,2
86,48,0,1
86,48,9,1
87,254,1,2
88,143,9,2
88,169,9,2
88,275,9,1
88,143,11,2
88,275,11,1
88,39,9,3
89,103,2,2
89,143,2,2
89,103,6,2
89,143,6,2
89,103,8,2
89,143,8,2
90,108,1,2
90,15,1,2
91,143,2,4
91,143,6,4
91,143,8,4
91,13,2,1
91,13,6,1
91,13,8,1
92,164,9,3
92,283,9,2
92,75,9,4
93,252,7,2
93,285,7,1
93,280,8,7
93,10,8,6
94,159,10,2
94,122,11,2
94,222,11,4
94,9,10,2
95,193,3,2
95,282,3,1
96,18,4,2
96,64,4,2
97,174,1,3
97,209,1,2
98,121,2,4
98,231,2,1
98,231,3,1
98,231,10,1
98,73,3,3
98,73,10,2
99,110,9,4
99,33,9,3
100,109,6,2
100,225,6,1
101,257,9,1
101,275,9,2
102,108,1,3
102,50,1,2
103,10,2,3
103,10,6,3
103,10,8,3
103,89,2,2
103,89,6,2
103,89,8,2
105,181,1,2
105,194,1,2
106,63,4,2
106,68,4,2
104,292,7,3
104,132,10,2
104,195,10,1
104,190,11,2
104,271,11,2
104,27,7,2
107,140,3,3
107,263,3,3
108,90,1,2
108,102,1,3
109,207,3,2
109,263,10,2
109,16,3,1
109,16,10,2
109,100,6,2
110,21,9,2
110,99,9,4
111,175,1,3
111,194,1,2
112,247,0,2
112,296,0,2
113,139,0,2
114,182,8,2
114,178,8,3
114,286,8,2
115,117,10,3
115,116,10,3
115,131,10,4
117,116,10,5
117,115,10,3
116,115,10,3
116,117,10,5
118,33,9,2
118,57,9,3
119,233,4,2
119,41,4,2
120,259,9,3
121,185,2,3
121,185,3,3
121,73,3,3
121,98,2,4
122,143,11,4
122,94,11,2
123,7,9,3
123,75,9,2
124,133,8,2
124,269,8,3
